year,level_1,level_2,value
1975,All Items,Housing & Utilities,34.288
1975,All Items,Household Durables And Services,60.07
1975,All Items,Health Care,27.681
1975,All Items,Transport,30.03
1975,All Items,Communication,131.831
1975,All Items,Recreation & Culture,58.479
1975,All Items,Education,19.981
1975,All Items,Miscellaneous Goods & Services,31.091
1976,All Items,Food,44.296
1976,All Items,Food Excl Food Servicing Services,na
1976,All Items,Food Servicing Services,na
1976,All Items,Clothing & Footwear,77.475
1976,All Items,Housing & Utilities,36.595
1976,All Items,Household Durables And Services,59.539
1976,All Items,Health Care,28.427
1976,All Items,Transport,31.325
1976,All Items,Communication,131.831
1976,All Items,Recreation & Culture,58.586
1976,All Items,Education,20.154
1976,All Items,Miscellaneous Goods & Services,31.82
1977,All Items,Food,46.473
1977,All Items,Food Excl Food Servicing Services,na
1977,All Items,Food Servicing Services,na
1977,All Items,Clothing & Footwear,78.621
1977,All Items,Housing & Utilities,37.006
1977,All Items,Household Durables And Services,60.726
1977,All Items,Health Care,28.882
1977,All Items,Transport,31.512
1977,All Items,Communication,131.831
1977,All Items,Recreation & Culture,58.578
1977,All Items,Education,20.54
1977,All Items,Miscellaneous Goods & Services,32.55
1978,All Items,Food,48.693
1978,All Items,Food Excl Food Servicing Services,na
1978,All Items,Food Servicing Services,na
1978,All Items,Clothing & Footwear,80.112
1978,All Items,Housing & Utilities,36.997
1978,All Items,Household Durables And Services,61.861
1978,All Items,Health Care,30.113
1978,All Items,Transport,33.182
1978,All Items,Communication,135.864
1978,All Items,Recreation & Culture,62.856
1978,All Items,Education,21.621
1978,All Items,Miscellaneous Goods & Services,33.678
1979,All Items,Food,50.062
1979,All Items,Food Excl Food Servicing Services,na
1979,All Items,Food Servicing Services,na
1979,All Items,Clothing & Footwear,82.941
1979,All Items,Housing & Utilities,38.879
1979,All Items,Household Durables And Services,64.565
1979,All Items,Health Care,31.225
1979,All Items,Transport,36.479
1979,All Items,Communication,137.22
1979,All Items,Recreation & Culture,65.911
1979,All Items,Education,22.57
1979,All Items,Miscellaneous Goods & Services,34.133
1980,All Items,Food,53.923
1980,All Items,Food Excl Food Servicing Services,na
1980,All Items,Food Servicing Services,na
1980,All Items,Clothing & Footwear,84.496
1980,All Items,Housing & Utilities,44.183
1980,All Items,Household Durables And Services,68.336
1980,All Items,Health Care,33.435
1980,All Items,Transport,41.697
1980,All Items,Communication,137.22
1980,All Items,Recreation & Culture,67.938
1980,All Items,Education,24.454
1980,All Items,Miscellaneous Goods & Services,37.095
1981,All Items,Food,59.088
1981,All Items,Food Excl Food Servicing Services,na
1981,All Items,Food Servicing Services,na
1981,All Items,Clothing & Footwear,86.02
1981,All Items,Housing & Utilities,46.504
1981,All Items,Household Durables And Services,70.906
1981,All Items,Health Care,35.53
1981,All Items,Transport,46.387
1981,All Items,Communication,137.22
1981,All Items,Recreation & Culture,73.995
1981,All Items,Education,26.022
1981,All Items,Miscellaneous Goods & Services,39.88
1982,All Items,Food,62.036
1982,All Items,Food Excl Food Servicing Services,na
1982,All Items,Food Servicing Services,na
1982,All Items,Clothing & Footwear,86.39
1982,All Items,Housing & Utilities,48.223
1982,All Items,Household Durables And Services,72.307
1982,All Items,Health Care,37.416
1982,All Items,Transport,47.664
1982,All Items,Communication,137.22
1982,All Items,Recreation & Culture,74.863
1982,All Items,Education,26.498
1982,All Items,Miscellaneous Goods & Services,42.003
1983,All Items,Food,62.283
1983,All Items,Food Excl Food Servicing Services,na
1983,All Items,Food Servicing Services,na
1983,All Items,Clothing & Footwear,86.342
1983,All Items,Housing & Utilities,48.629
1983,All Items,Household Durables And Services,73.099
1983,All Items,Health Care,40.385
1983,All Items,Transport,48.219
1983,All Items,Communication,137.22
1983,All Items,Recreation & Culture,75.033
1983,All Items,Education,27.282
1983,All Items,Miscellaneous Goods & Services,44.129
1984,All Items,Food,63.233
1984,All Items,Food Excl Food Servicing Services,na
1984,All Items,Food Servicing Services,na
1984,All Items,Clothing & Footwear,85.991
1984,All Items,Housing & Utilities,50.333
1984,All Items,Household Durables And Services,73.191
1984,All Items,Health Care,45.176
1984,All Items,Transport,50.321
1984,All Items,Communication,137.22
1984,All Items,Recreation & Culture,75.756
1984,All Items,Education,28.731
1984,All Items,Miscellaneous Goods & Services,47.542
1985,All Items,Food,62.488
1985,All Items,Food Excl Food Servicing Services,na
1985,All Items,Food Servicing Services,na
1985,All Items,Clothing & Footwear,83.815
1985,All Items,Housing & Utilities,52.094
1985,All Items,Household Durables And Services,73.387
1985,All Items,Health Care,45.814
1985,All Items,Transport,53.029
1985,All Items,Communication,120.447
1985,All Items,Recreation & Culture,75.713
1985,All Items,Education,29.677
1985,All Items,Miscellaneous Goods & Services,48.332
1986,All Items,Food,61.558
1986,All Items,Food Excl Food Servicing Services,na
1986,All Items,Food Servicing Services,na
1986,All Items,Clothing & Footwear,81.897
1986,All Items,Housing & Utilities,50.907
1986,All Items,Household Durables And Services,73.478
1986,All Items,Health Care,45.649
1986,All Items,Transport,51.062
1986,All Items,Communication,114.856
1986,All Items,Recreation & Culture,76.443
1986,All Items,Education,31.773
1986,All Items,Miscellaneous Goods & Services,48.526
1987,All Items,Food,61.461
1987,All Items,Food Excl Food Servicing Services,na
1987,All Items,Food Servicing Services,na
1987,All Items,Clothing & Footwear,82.21
1987,All Items,Housing & Utilities,50.129
1987,All Items,Household Durables And Services,73.927
1987,All Items,Health Care,46.175
1987,All Items,Transport,51.644
1987,All Items,Communication,115.185
1987,All Items,Recreation & Culture,77.337
1987,All Items,Education,32.709
1987,All Items,Miscellaneous Goods & Services,51.144
1988,All Items,Food,62.316
1988,All Items,Food Excl Food Servicing Services,na
1988,All Items,Food Servicing Services,na
1988,All Items,Clothing & Footwear,85.014
1988,All Items,Housing & Utilities,50.125
1988,All Items,Household Durables And Services,74.863
1988,All Items,Health Care,47.149
1988,All Items,Transport,52.175
1988,All Items,Communication,115.185
1988,All Items,Recreation & Culture,79.523
1988,All Items,Education,34.964
1988,All Items,Miscellaneous Goods & Services,52.016
1989,All Items,Food,63.029
1989,All Items,Food Excl Food Servicing Services,na
1989,All Items,Food Servicing Services,na
1989,All Items,Clothing & Footwear,86.575
1989,All Items,Housing & Utilities,51.017
1989,All Items,Household Durables And Services,76.072
1989,All Items,Health Care,48.22
1989,All Items,Transport,54.902
1989,All Items,Communication,120.707
1989,All Items,Recreation & Culture,81.632
1989,All Items,Education,36.845
1989,All Items,Miscellaneous Goods & Services,53.721
1990,All Items,Food,63.517
1990,All Items,Food Excl Food Servicing Services,62.579
1990,All Items,Food Servicing Services,63.607
1990,All Items,Clothing & Footwear,87.323
1990,All Items,Housing & Utilities,54.707
1990,All Items,Household Durables And Services,78.667
1990,All Items,Health Care,50.616
1990,All Items,Transport,59.503
1990,All Items,Communication,123.472
1990,All Items,Recreation & Culture,83.139
1990,All Items,Education,39.884
1990,All Items,Miscellaneous Goods & Services,55.546
1991,All Items,Food,64.521
1991,All Items,Food Excl Food Servicing Services,63.304
1991,All Items,Food Servicing Services,64.882
1991,All Items,Clothing & Footwear,88.862
1991,All Items,Housing & Utilities,55.963
1991,All Items,Household Durables And Services,79.187
1991,All Items,Health Care,54.716
1991,All Items,Transport,63.996
1991,All Items,Communication,124.41
1991,All Items,Recreation & Culture,86.412
1991,All Items,Education,44.206
1991,All Items,Miscellaneous Goods & Services,59.013
1992,All Items,Food,65.297
1992,All Items,Food Excl Food Servicing Services,63.964
1992,All Items,Food Servicing Services,65.766
1992,All Items,Clothing & Footwear,91.018
1992,All Items,Housing & Utilities,57.403
1992,All Items,Household Durables And Services,81.06
1992,All Items,Health Care,56.072
1992,All Items,Transport,66.03
1992,All Items,Communication,124.41
1992,All Items,Recreation & Culture,88.453
1992,All Items,Education,47.084
1992,All Items,Miscellaneous Goods & Services,60.997
1993,All Items,Food,65.926
1993,All Items,Food Excl Food Servicing Services,63.964
1993,All Items,Food Servicing Services,67.032
1993,All Items,Clothing & Footwear,92.237
1993,All Items,Housing & Utilities,59.503
1993,All Items,Household Durables And Services,82.353
1993,All Items,Health Care,57.901
1993,All Items,Transport,68.017
1993,All Items,Communication,123.439
1993,All Items,Recreation & Culture,90.045
1993,All Items,Education,49.086
1993,All Items,Miscellaneous Goods & Services,65.08
1994,All Items,Food,68.26
1994,All Items,Food Excl Food Servicing Services,65.964
1994,All Items,Food Servicing Services,69.663
1994,All Items,Clothing & Footwear,94.373
1994,All Items,Housing & Utilities,60.323
1994,All Items,Household Durables And Services,83.122
1994,All Items,Health Care,59.522
1994,All Items,Transport,73.201
1994,All Items,Communication,123.586
1994,All Items,Recreation & Culture,91.167
1994,All Items,Education,50.669
1994,All Items,Miscellaneous Goods & Services,66.921
1995,All Items,Food,69.83
1995,All Items,Food Excl Food Servicing Services,66.957
1995,All Items,Food Servicing Services,71.777
1995,All Items,Clothing & Footwear,95.793
1995,All Items,Housing & Utilities,60.914
1995,All Items,Household Durables And Services,86.977
1995,All Items,Health Care,60.395
1995,All Items,Transport,73.93
1995,All Items,Communication,120.597
1995,All Items,Recreation & Culture,92.074
1995,All Items,Education,52.719
1995,All Items,Miscellaneous Goods & Services,67.822
1996,All Items,Food,71.304
1996,All Items,Food Excl Food Servicing Services,68.068
1996,All Items,Food Servicing Services,73.59
1996,All Items,Clothing & Footwear,96.343
1996,All Items,Housing & Utilities,61.481
1996,All Items,Household Durables And Services,87.493
1996,All Items,Health Care,61.57
1996,All Items,Transport,74.292
1996,All Items,Communication,119.886
1996,All Items,Recreation & Culture,93.193
1996,All Items,Education,55.106
1996,All Items,Miscellaneous Goods & Services,68.741
1997,All Items,Food,72.753
1997,All Items,Food Excl Food Servicing Services,69.701
1997,All Items,Food Servicing Services,74.84
1997,All Items,Clothing & Footwear,97.163
1997,All Items,Housing & Utilities,63.279
1997,All Items,Household Durables And Services,87.36
1997,All Items,Health Care,63.561
1997,All Items,Transport,77.716
1997,All Items,Communication,117.153
1997,All Items,Recreation & Culture,92.302
1997,All Items,Education,56.642
1997,All Items,Miscellaneous Goods & Services,69.652
1998,All Items,Food,72.93
1998,All Items,Food Excl Food Servicing Services,68.974
1998,All Items,Food Servicing Services,75.882
1998,All Items,Clothing & Footwear,95.827
1998,All Items,Housing & Utilities,64.906
1998,All Items,Household Durables And Services,87.68
1998,All Items,Health Care,65.9
1998,All Items,Transport,73.757
1998,All Items,Communication,112.866
1998,All Items,Recreation & Culture,88.881
1998,All Items,Education,59.471
1998,All Items,Miscellaneous Goods & Services,70.84
1999,All Items,Food,73.565
1999,All Items,Food Excl Food Servicing Services,69.822
1999,All Items,Food Servicing Services,76.33
1999,All Items,Clothing & Footwear,93.957
1999,All Items,Housing & Utilities,64.084
1999,All Items,Household Durables And Services,87.626
1999,All Items,Health Care,66.072
1999,All Items,Transport,73.509
1999,All Items,Communication,111.358
1999,All Items,Recreation & Culture,88.112
1999,All Items,Education,61.999
1999,All Items,Miscellaneous Goods & Services,71.896
2000,All Items,Food,73.956
2000,All Items,Food Excl Food Servicing Services,70.173
2000,All Items,Food Servicing Services,76.754
2000,All Items,Clothing & Footwear,93.094
2000,All Items,Housing & Utilities,65.886
